index,team_name,team_id,norad_team,csah_team,league_id,league,long_team_name,team_cd,team_color1,team_color2,team_color3,team_color4,team_logo,team_url
0,Amos,N10001,Y,N,N,NORAD,AMOS,ACE,#641C28,#458BC5,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2023/07/AMOS-Logo-small.png?resize=128%2C40&ssl=1,https://www.noradhockey.com/team/amos-2/
1,Ace,N10002,Y,N,N,NORAD,ACE,AMOS,#CA0527,#000000,#F4E8CC,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2023/06/Ace-Hardware-Jersey-Logo.png?resize=128%2C128&ssl=1,https://www.noradhockey.com/team/ace/
2,HollowBrook,N10003,Y,N,N,NORAD,HollowBrook Dental,HBD,#4D2640,#016359,#BCC1C3,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2017/01/HBD-Logo.png?resize=128%2C115&ssl=1,https://www.noradhockey.com/team/hollowbrook-dental/
3,Nelson,N10004,Y,N,N,NORAD,Nelson & Company,NAC,#F3C323,#000000,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/08/2025-26-NC-Logo.png?resize=300%2C300&ssl=1,https://www.noradhockey.com/team/nelsoncompany/
4,OS Offices,N10005,Y,N,N,NORAD,OS Offices,OSO,#2C8A5E,#EEB70E,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2020/10/Office-Scapes-Logo-Small-e1602519375735.png?resize=268%2C300&ssl=1,https://www.noradhockey.com/team/os-offices/
5,Orphans,N10006,Y,N,N,NORAD,World Orphans,WOR,#000000,#257A78,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2023/07/World-Orphans-Logo-small.png?resize=128%2C125&ssl=1,https://www.noradhockey.com/team/world-orphans/
6,Outlaws,N10007,Y,N,N,NORAD,OUTCAN Outlaws,OUT,#02007B,#C80000,#C5E002,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2024/08/OUTCAN-Outlaws-Logo.png?resize=128%2C117&ssl=1,https://www.noradhockey.com/team/outcan-outlaws/
7,Platinum,N10008,Y,N,N,NORAD,Platinum Group,TPG,#919294,#253464,#126C3D,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/04/Hartford-Final-scaled.png?w=2534&ssl=1,https://www.noradhockey.com/team/platinum-group/
8,Triple J,N10009,Y,N,N,NORAD,Triple J,JJJ,#4EB9E5,#D83E3D,#EFAD08,#030629,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2017/01/Image_11-11-24_at_10.17_AM-removebg-preview-1.png?resize=128%2C110&ssl=1,https://www.noradhockey.com/team/triple-j/
9,Velodrome,N10010,Y,N,N,NORAD,Colorado Springs Velodrome,COS,#9C47E4,#000000,#FFFFFF,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/06/Velodrome-Vertical.png?resize=128%2C110&ssl=1,https://www.noradhockey.com/team/cos-velodrome/
10,Norad,N10011,Y,N,N,NORAD,Norad,NOR,#B21A18,#012B68,,,https://www.noradhockey.com/wp-content/uploads/2022/05/New-NORAD-Logo-White.png,https://www.noradhockey.com/
11,Canada,N10012,Y,N,N,NORAD,Canada Colorado,CAN,#B21A18,#012B68,,,https://www.noradhockey.com/wp-content/uploads/2022/05/New-NORAD-Logo-White.png,https://www.noradhockey.com/team/canada-colorado/
12,Patriots,C120012,N,Y,C,CSAHA,Patriots,PAT,#B21A18,#012B68,#FFFFFF,,https://www.facebook.com/photo?fbid=133163869488009&set=a.133163862821343,https://www.csaha.org/team/127141
13,Angry Dolphins,C130013,N,Y,C,CSAHA,Angry Dolphins,AGD,#641C28,#458BC5,#FFFFFF,,https://crossbar.s3.amazonaws.com/organizations/972/uploads/177ce500-b0c5-44ac-a24a-c75409de4ef4.png?versionId=g4WF2LSGUAHN3K8K7pL9CTy93iHzp1pJ,https://www.csaha.org/team/94762
14,Cereal Killers,C140014,N,Y,C,CSAHA,Cereal Killers,CLK,#CA0527,#000000,#FFFFFF,,https://crossbar.s3.amazonaws.com/organizations/972/uploads/177ce500-b0c5-44ac-a24a-c75409de4ef4.png?versionId=g4WF2LSGUAHN3K8K7pL9CTy93iHzp1pJ,https://www.csaha.org/team/127137
15,Chiefs,C150015,N,Y,C,CSAHA,Chiefs,CHF,#0255d1,#F3C323,#FFFFFF,,https://crossbar.s3.amazonaws.com/organizations/972/uploads/177ce500-b0c5-44ac-a24a-c75409de4ef4.png?versionId=g4WF2LSGUAHN3K8K7pL9CTy93iHzp1pJ,https://www.csaha.org/team/127138
16,Teal Team 6,C160016,N,Y,C,CSAHA,Teal Team 6,STS,#000000,#257A78,#FFFFFF,,https://crossbar.s3.amazonaws.com/organizations/972/uploads/177ce500-b0c5-44ac-a24a-c75409de4ef4.png?versionId=g4WF2LSGUAHN3K8K7pL9CTy93iHzp1pJ,https://www.csaha.org/team/127144
17,Banana Havoc,C170017,N,Y,C,CSAHA,Banana Havoc,BHC,#F3C323,#000000,#FFFFFF,,https://crossbar.s3.amazonaws.com/organizations/972/uploads/177ce500-b0c5-44ac-a24a-c75409de4ef4.png?versionId=g4WF2LSGUAHN3K8K7pL9CTy93iHzp1pJ,https://www.csaha.org/team/127136
18,Sasquatch,C180018,N,Y,C,CSAHA,Sasquatch,SAS,#9ED8D9,#6CA3B7,#445662,#CD1F38,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMTERMTEhMVFhUXGRgYFRcYFhcYGBogFxoYGBgaFyAYHSggGBolHhoaITEhJSkrLi4uFx8zODMvNygtLisBCgoKDg0OGxAQGi0lHx4tLS0tLS0tLS0tLy0tLi0tLS0tLS0tLS0tLy0tLS0tLS0tLS0tLy0tLS0tLS0tLS0tLf/AABEIAOAA4QMBIgACEQEDEQH/xAAcAAEAAwEBAQEBAAAAAAAAAAAABQYHBAMIAgH/xABHEAABAwICBgcEBwUHAwUAAAABAAIDBBEFIQYSMUFRYQcTIjJxgZFCobHBFCNSYoLR4VNykrLwFSQzQ4OiwhZjkzVko7Px/8QAGQEBAAMBAQAAAAAAAAAAAAAAAAIDBAEF/8QAKREBAAIBAwMCBQUAAAAAAAAAAAECEQMhMRJBUQQTIjJxkcEFQmGB8P/aAAwDAQACEQMRAD8A3FERAREQEREBERAReVXUNjY+R5DWMaXPcdgDRck8gAv7TzB7GvbscA4eBFwg9EX5e8AEkgAZknIC20lZ3pN0v0cBMdKDVy7OwbRA832Ot+AOHMLsRky0ZQOP6Y0NHcVFTG1w/wAsHXk/gZd1udrLD8a0xxStuJJ/o8R/y4bs9SDrnzdbkoSmwmJu0ax4u/LYpRTyhN/DTcV6bGkltFSSSHZrykMb46rNYkeJarF0T6VVGIQ1ElT1YcyXUaI2lrQNRptmSTmTtKx9oAyGS0ToAP1FcP8A3F/Vg/JdtWIhytpmWrIvzLIGtLjsAJPgMzsX5pp2yMa9jg5jgHNc0gtcCLggjaCN6rWPRERAREQEREBERAREQEREBERAREQEREBEVB6SekRlCPo9OBJWOGTdrYwdjpLb94bv2mw2ojJlwdOekghoxSMd9bUd4A5tibm4nhrEBvMF/Ar0wvpApqPBaGWZxfIYWsZE0gveYvqnE37rQWm7j7zkcjbTvke+aoeZJpLlznG5zFvhllkBkMly4ThuqA94u72QfZGfvzv5q3o2Vde6a0j0ircTP95f1UF7tgZcN5a1++dmbvIBclNSsYLNaBz3+q7KSmdI7VaLnfwHMqzYfhTI8z2n8Tu/dG5TrXwpvqRHKFosGkfmew3idvkPzspmlwaJm0ax4uz92xSKK2KxDNbVtKm4lAWSuBFsyRwsTlb+tyioqeSGXr6WV8MozBa4i9zcg8QeBuOS0GppWSCz2g/EeB3KBxDA3N7UZLhvb7Q8OKhai6mrHErZod0oidrqXEA2KoLSGSd2OS4NgdzHn+E7rGzVUuiLpBNEGU1WT9Ff/hyH/JcdoP8A2yTc/ZJvsJtAVtG2Rtnbdx3j+uC8KOh+qMcg3n9CFV0w0dcvqdjwQCCCDmCMwb7CF+lgGguns2GObT1OtLRk2a7a+H93izizzb9k7zR1TJY2yRPa9jwHNc03BB2EEKuYwticvZERcdEREBERAREQEREBERAREQERQemekcdBSSVL7EjsxsvbXe7ut+ZO4AncggOk/TwUEYhgs6rlHYbtEYOXWOHrqg7SOAKxajpiC6SRxfK8kve43JJzOZ2nmkTpJpZKqodrzSkuJO6+wAbhawA3AAKcw3DC9rpHd0A6o+0QD7ldWqi945lGrooqR0rw1vmdwHErnaL2srhhVEImW9o5uPPh4BTrGVWpfph60dK2Nuq0eJ3nmV7opLDsO1rOfs3DjzPJWzMQx5y5aWifJsGXE7P1UrBhLB3u0fQegXeAirm0y6hsajDdSwAGewW4KMVmq6cPbqnyPAquzwOYbOH5HwU6zs4hMawvWBkYO0No+1+vxVaV8VYx+i1H6wHZf7jv9dvqo3r3aNG/7ZREkYcCHC4O1THR/pg/C5xDM4uopXb8+pcfbHL7Q3jtDMEH+4XholicdjtbsnwA28s1D1tJcOjeLbjyPEKua7L6332fTTHAgEEEHMEZg33hf1ZV0I6Tucx+HTu+sgF4SfajyGrz1CRb7rgPZWiUuNRSVM1Mx2tJC1jpbbG9ZrarT96zSbcCOKpmMNETlIoiLjoiIgIiICIiAiIgIiIIDT10jcNq3wvcySOJ0rHNNiDF9YPHu7N4yWBY9phUYoaWOoDQIQ5ztS4EhNgHluwGw1csu061r2H0Lpe4DD60nZ9Hnv8A+Ny+a8FiHVRutnZwvyLifkrKQrvKXpYNd7WDebfmfRXSNgaAALACwCrWjbLzX4NJ+A+ZVnWikbMWvO+EPS4NqT6+RYLlvEHcD4fIKYK9aWnL3ao5n0XkpREQqtabcuzC6TXdc91u3nwCsC5sPh1I2jecz4n+reS6VXacy4IiKILyqadrxZ3kd48F6ogrVXSOjNjs3Hcf1UdidL1kZbv2tvxH9W81dJYw4WcLgqv4hSGN3Fp2H5HmrInO0kbbo6iphGxrBnbaeJOZKidJabJsg/dd8j8vMKdXFjLbwSeAPoQV20bJUtPVlRpayWlniq6c2ljJANrjtAtsRvGZFuYV96AHPNRiRkJdIeoc9xNyXOdOXEneblUxWjoXq+rxWpiP+dCHDxjc3L0c/wDhWe0bPQpO7ckRFUtEREBERAREQEREBERBVulGq6vCK13GIs/8pEY/mWDYc20TP3R781snTjJbB5hxkhH/AMjXfJZBELNA5D4KynCq6X0cfaa3FpHwPyVoUO7DNXq5Yhm0NLm/aFs7c7X8VLgrTWMQwasxM5hLYC3N58B63/JelXhl3hzdhI1h55kLwwOSznN4jLy//fcppRtOJQERFAEREBERAXBjQ+r8CLe9d6h8TkdIdVjSQ05kC+f6LteRFrgx2S0D+dh6kfJd6462k61zQ7uNzP3jsA8NvqrZ4drzuqBH6KQ0Gfq45QEb+saeY6qX8/cv1pDbrQBkA0C3qmgUZdjlCB7IleeQ6qUfG3qqLRjLdSc4l9DoiKhoEREBERAREQEREBERBS+mKiMuD1QbtZqSeUcjXO/2hyxSkfrRsPFo+C+mK+kbLFJE8XZI1zHDiHAtI9Cvl/Co3RiSF/fhkfG7xaSD77qyivUXzBp9aFnIap/Dl8LLtUFovJlI3wI87g/AKfjkLTcW8wD8VqrOYedqRi0v7C4ghzdozCsdLUB7bjI7xwKh2YrIOB8vyXRHjP2meh+R/NRtEyglkXNBXxu2OseByXSq3RERAREQEA4IiCAxaLVkNtjs/wA/65rxmpnNAJ2EAg+OdvFdeMytLm6rgSAb2INuF7bF30sYfC1p2FtlZnaBl+NPvPJ4gegAUx0PU+vjEr90VOR5vdHb3a6ga6/WyX267r/xFXHoFjvUYlJwMLB5GW/wCpvxL0NOOGxIiKleIiICIiAiIgIiICIiAvmbE7f2jiWrs+ky+vWPv719KVM7Y2Oe42a1pc48A0XJ9F8uYTMZOtmd3pZHyHxcdY+8lTohfhatFh2pPBvxKmMRquqikkPsNc63GwuAo/RmOzHO4ut6D9SvfSOIupJwNvVut5C/yWqvyvPvvdmNNi04eCaiVtz2jruIFzmdW9jvNrK/4fpXSuLWda4HYHSAjW8TsBPOyzSBgc4AnVvlc7BwuvasoHx94ZfaGz9FV1xE4y2T6a2pSbxG0czH5bKuulr3s5jgflwWPYLpLPT2a068Y9h1yB+6drfhyVsptOqcjttkYeFg4eRB+ICt6oljtpWjhp1LWMf3SL2uW37Q3Xtw5roJWF4jphIauOop7s6oFrA7PWDu9rgHYcsr7gb32eVbptWSxTxPe3VmN32bYgEAFjDfJhAAsbnbnmVXKUaMt2ila5oc0hzXAFpBuCDmCCNoX7WYaM9JcUVPHDURSF0bQwPj1SHBos24c5tnWAG8b8lz470pSPBbSR9Vf/MfZz/wtHZafHWXEfatloOkGkdPRtBnfYnusbm93gOHM2HNZXpvpbDWsb1cc0b2naXDUc03uHNa6172IOe9VWWWSaQucXSSOOZJLnHxJ/oLpqMO6uPWe7tHutHzKjNoicS26Po72rN6xtXme3+/hL9HdVqVXV7GyNII5t7QPpreq2+kjLWNadoyWEaDQF1Ywj2GvcfNpZ8XBb4p9mPW+ZkWLttUTj/uSfzFXHoBf28SbvEkTvI9aPkq7pjS9XVycH2ePxDP/cCu7oXqurxWpiOyaDXHjG5th6Pf6KFuGvTnhuSIipXiIiAiIgIiICIiAiIgqXSvWGLCKxw2uYI/KV7Yj7nlYXh7NWJg+6D65n4rYOnSS2ESD7UkIPk8O+SySJuQHIBWU4VanK5YRHqwsHEX/iz+a6WvB1gM7Gx9AbehC/TGWAA3ZeihNF6rrDV33VMgHhZoHwWrjZ5075lQ9JsGNNMW2+rdcxnl9nxGz0O9dOD14e3q3961hf2h+a0PFqKOaJzZRdtieYsNrTuKxxp2FUa2lFow9X9O9dfQv1R9JjzCdnw6NrJHPyGsSwjaBbIc89ygl6zVDn21nE22XKmdGNHHVWs4u1I2mxIzcTYGw3DIjM8Qo6dLRzOU/W+o0tS0Tp16Yj7z9fwgUWqUOidJGQTCJCP2hc4HxAIHuU1SYNh7jqvo6dvPUFv0Vs1l5/vVYiunD9TrB1nd9191+S1HSHo+o3NLoHGJ3Br9Zuf3XEm3IELLcQo3QyvifbWYbG2w7wRyIIPmo2rmF2jrRF4tEZx2lYYoGxdY86oBN8hawts9dyr9fVmR9zs2NHAfmV4OeSACSQNgJNh4Kf0EYw1jQ9oPZcWX3OFiD42BVWlo9M5mcy9H1v6j7unGnSvTWN8eZ5W/QPAjCwF4tJKW3G9rb5N8cyT48lotLUh+tb2XuYfFpt+R81D4PFeS/AE/ILg0DreslxIfZrJCPA9n/gr7eHhT8WZl5dItPlDJwLmHzs4fA+qqeitX1OMUEuwOf1R/1AYxfzkHorxp8P7s3k8H5fNZhiVR1ToJv2crH/wnW/4qEw0aE7PqdERUNgiIgIiICIiAiIgIiIM56ev/AEr/AFor/wC5ZdT95viPitY6cor4RKfsyQn1eG/8lkcD+6fA/NW04Vai+qn6ETfX1sZ/aFw/je0/JXAqi4e/qcYlachIXDl2wJR7xbzWiezBTeJhb8WP1E1v2cn8pWNhbXUR6zXN+0CPUELFNUjI7RtHguXW6HErngWhHWRtknc5usLhjbAgHZrEg58rZKxUuCupqeaOleddxLmF9jZ1mjhbY0bQsvnrHudrPkcXcS43+K7qLSSpi7k7iODiHj/de3kuRMJWpae61YbpZJC4w17HNcNj9X+YNyP7zf1UpPpfSNbcSFx3Nax9z6gAeZVBxfSCWpDRLqHVNwWtsc8jnfZy5BRidUntRO8tAwbEayqqGytHV0wOYIFnAbrkXc48RkPjJ1+i9NJI+WXWLnm5OvqgWAAtbLYBtVI/6sqtQMa9rQAANVjAbDIDZkoepqnSG8j3PPFzi74p1Q57c58JnSbR/wCjEPY7XicbA5Xaduq62RyuQeR8/wAaGH+/QeL/AP63qGabAgbDtG422X4qx9H1MZK5gG5rj6jU/wCS53Tnas5bZhrA2NrrWuLk8sz8CqN0Pyl4rZftytd5u13H+ZWnS2vEFBUPaQLRuYw/ed9W0eTj7lA9EFJqULn/ALSVxHg0NZ8WuUZZ4j4JSOnz/qWjn8x+RWV6Sf4B8fkVpGn83dbzb8HH5hZ3jEPWCKIbZJGMH4rt+aWXaHyvqiPYPAL9IiztoiIgIiICIiAiIgIiIKv0n0fW4TWtte0RkH+kRKP5FgmHPvEw/dA9Mvkvp+pgD2OY4Xa5pa4cnCxXy7QU7oXS0z+/BI+N34SRfwJBPmrKK7tBopdaNjuLR8M1TukKmdHLDUsyOTb8HMOuw/H+FWHRue8ZZvafc7P43XTjOHiogfEctYdk8CM2n1WnmrBE9F0Vo3j4qZ5rAgdXEWg7ra3Wf7nAeSqGkeG6lcYzk2R7XA8pHZ+h1h5Ly0dqjTVjNcatnGOQcNbsm/gbHyVz04wh0sQljH1kN3C20tGbrcxbW8jxUeYWfJb+JfvHMUgoWMa2FpJvqtFmgBtrkmx4+ahotLqiY2gow8/da+X11AFD6X4sypfG+O+UdnXFrG5Jtx27VtGBV8X0GGYFrIhC1x2ANDW9sG3Agg+C5NvDkxFaxmN2bSUuLSjOgjsftRRj3SPURU6F4iSXGjI5MMIHkGvWo/8AXuH6geagC/s6khePFoaSPHYuKXpNw8bHyO8InD+ay5l2LX7VZLW4NUw362nmYBvdG8N/itb3rrwzSeaOwdqzR/ZkF/R20edxyWjv6VaIbGTnwbGPjIo/EcYwSri6yZnVyG+TY3NmyuASYgWuvt7RIXMpdUzzVH0dNQV7TqxiOS1yG2Y8c8uy8c7HyUr0U4II3VM5cHNDjFG+1gQzvuHK5A/CVm9HTOkqBFSl93uLIiTqvs647ers7ObrZWBWwaSPZh2EuijNiGdTGcgS6S4c7x77/JdmUbxj4c8s0xzSiSpiNM0EtNRNKLbX9Y8ujYPAvdlzbwW0aP4d9HpoYPsMAceLtrj5uJPmsq6LMA66q69w+qgzHAyewPw97ybxWq1ddYyNG5th4nI+l/ckQjrTHEKPpjUa0o/E71Nh7goXAKXrsUw6H/vCQ+EX1npZhXti8+vM87h2R5ZfG/qp3oXw/rsTqKgjs08XVtP3pDbLwDXj8QUbzy0aVcRENxREVDSIiICIiAiIgIiICIiAsL6YMGNNiLKto+qqgGyHcJGADPhdoafwvK3RQ2l+j8dfSS00mWsLsd9h4zY4eB2jeLjeuxOJcmMwwrCavq5QT3Tk7wO/y2q4LO6YSMdJBMNWaFxZID93K/Mc9+R3qep8bc2HUtdwya7gOfMLTS2GLV05mcw49OsA1waiMdoD61o3ge0OYG3l4KZ0MxjroGEm8kdmv5kd13mPfdSVDVCRgcPMcDvCrs+GGjqPpMAJgdlPGBctB9to3gHO27Pccp47qs5jpnmETp9ot9Hf9Igb/dpDew/ynHaw8Gk7PTheKw/FKiSm/s+LNj5NfbbK1y0ncy41zzHNbBh0zHtMUga+KQWsc2nW3eBWbaa6ESUhdLBrPpjt2l0Yv3ZPtM2drlnxNcxiVunqZ2nlyxsw+m/xCaqXeG/4Y5ZkAj18AkmmTmi0NPDE3wv8NUe5fvRCemk/u9RDEXHuSFoBd90uGetwN89m3bbKTRiljdrNhF92sXPt4BxIU4jw5a0RPxZV2ira6aN8rxG2JrSbuhaS82yDAczc2F9me9VjFIpQQ+ZoY5+YZqtYbcS1oGqN2eZseC0nSDH2UzbDtyuyZGMyScgTbMD3ncvTQ3Qx5l+m1/alJDmRn2Duc8bNYbm+zbjs5bYrfEZmNnt0aaJmnZ9JmbaaQWY07Y2HPPg92/gLDioPpAqJK+vioaftdVfWPshxtrud91jbC/EuG1aJpBiD4oj1Lded/YhZxcfadwY0dok5WHMLh0Q0ZZRRuLna88namlO0naQL+zck8zmeUEIv+6f6dOH0UdDSsij9nIE7XuOZceZzPgLKv4vWdXG51+0cm+J3+W1fjTTFCSwNNrOu38O/zJ9yrmJVxlfrHIDJo4cfNSziCmnNpzKPrJwxjncBl47vetp6H8CNLhsZeLSTkzyX29sDUB4dgNuOJKyXRbA/7QxCKmteGP62pO7VbsYf3jZvgXH2V9HgKm89m6kd39REVawREQEREBERAREQEREBERBkvTTouRq4nA3tMAbUtA7zMg1/i3YTwsdjVnsUgc0OGw5hfTMsYc0tcAWuBDgRcEHIgjeF836b4A/CqmSIAmnkDn0rjc24xuvvaSBzGqd5tZSeyu9e7owiv6p+fcPe/NW0OyyzBWa4ZX9Zk4WeM/EHeFZ8ExTU+reez7J+zyPL4K6luzJq6ed4WCGINFmiw3DcPDgOSn8Mrtcaju9z9ofmoNdFLTuffVIuMxu9Pd6qy0RMMyD0q6No5CZKMiJ+0xnKM/u2/wAM+7w2qr0VLjD5PowErS3Jznhoa0cTIQbjmCSdy1yjqndyQFrtxOx3nsuuxVcLY1Zxvuq2iuhUVIetkJmqDmZXZ2P3Adn7xzPLYrSiLiEzM7y/PVjW1rZ2tffbbb4egURjeIgNc29mjvn5L1xfFBG0gOAt3nbm/qs7xXEjKbDJg2DjzKlG28pUpNpeGIVRlkLj4AcANn9c1G1tQWgBoLpHENjaBcuccgABtzIy5hc2J4lqFrWka1wXeHDxK0roX0YEr3YnO3YXMpWkZADJ8g53u0eD+VoWnG7bWvZdOjTRH+z6Sz7GolIfUO2556rAd4aDbmS471bkRULxERAREQEREBERAREQEREBERAUFpno1HiFK+nkyPeifa5jeAdVw5Z2I3gkb1OogxKfo+nlwmB7W6uIUZmjc39qxsshDBx7JBYd4db2gRS6KqEjb7CMnNO1p3gr6hWYdJXR0ZnOraABtRtliyDZuJG4Se53I5mdbeULV8KZhGL6lmSd3c7e3x4j4KfmxDqW9aCMh2eDr7BltBVApKsPu0gte0kPY4EOaRkQQc8jkuoyGwbc2GYF8hfgr4vsy20omctYwbFWVMYezbsc3e08D8iu5ZLg+KPp5BIzwc3c4cD8juV/rNJ4W04madYuyYzfrbw7hbf5W2hRVX05idn60kx5tMwWAdI7us5b3O4D4nzXPV6RsMIe06rSMzv/AHRzWfVlU+V7pJDdzjcn5DgBwXlrG1r5bbbs0iU/ZjDsxPEnSu4MGxvzPEqOghmqJ20tI3Xmf/Cwb3PO4Dj4bSQCghmqJm0tK3Xmf/Cwb3PPsgX2+G0kA7xoLobDh0GoztzPsZpiO088BwYLmw8zcklRtZopT7IOm6J6VuHPpHEmaQtfJU2GvrtNwWX7re83V4ON8ySr1QUbIYmRRNDY42hrGjYA0WAXQipyvwIiICIiAiIgIiICIiAiIgIiICIiAiIgIiIKVp70eQ1462MiGraOzKBk6wybKB3hu1to5jI4rIZIZJIKpvVzRd8HYR9pp3gixuNoIX0+qppZoBSYhPBNUB14gWuDTq9Y292teRnYG5yIPaKlW2EbVywCkrX9kyNLWS63UvLSGv1XapAOw2ORtsKkFvGlGh9PWUf0QsbG1gHUFrQOqLRZpaBu3Fu8XCw2j0Xr5as4cWakrD9bNmWNj3SA5XDhs3nZkb2nFsoTXCKqKmQh74o3OihLTO8C7W6ztVoJ3XOX6ArqgbLUSspqRvWTSbLbGje9x3ADO/6A7/hOh9LBQuoWMvE9rmyk96QvGq57j9o8d1gBYALm0B0IhwyEtYesmf8A4sxFi62xoHssHDzXOt3ofrQTQ2HDoNVvbmfYzTEZvPAcGDOw8zmSVZ0RVrBERAREQEREBERAREQEREH/2Q==",https://www.csaha.org/team/127143
19,Holligans,C190019,N,Y,C,CSAHA,Holligans,HOL,#CA0527,#FFFFFF,#000000,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6spe_w2QP-DvM7NfA2dkyTNmtI6gpX_HcLg&s,https://www.csaha.org/team/127139
20,Puck Masters,C200020,N,Y,C,CSAHA,Puck Masters,PKM,#B21A18,#012B68,#FFFFFF,,https://crossbar.s3.amazonaws.com/organizations/972/uploads/177ce500-b0c5-44ac-a24a-c75409de4ef4.png?versionId=g4WF2LSGUAHN3K8K7pL9CTy93iHzp1pJ,https://www.csaha.org/team/127142
21,Red,N10022,Y,N,N,NORAD,Red,RED,#CA0527,#FFFFFF,#000000,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/05/Red.png?resize=294%2C300&ssl=1,https://www.noradhockey.com/team/red-team/
22,Green,N10023,Y,N,N,NORAD,Green,GRN,#04c946,#FFFFFF,#000000,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/05/Green.png?resize=294%2C300&ssl=1,https://www.noradhockey.com/team/green-team/
23,Blue,N10024,Y,N,N,NORAD,Blue,BLE,#0255d1,#FFFFFF,#000000,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/05/Blue.png?resize=294%2C300&ssl=1,https://www.noradhockey.com/team/blue-team/
24,Yellow,N10025,Y,N,N,NORAD,Yellow,YEL,#F3C323,#FFFFFF,#000000,,https://i0.wp.com/www.noradhockey.com/wp-content/uploads/2025/06/Yellow-Team-Logo.png?resize=294%2C300&ssl=1,https://www.noradhockey.com/team/yellow-team/
25,Free Agent,N10026,Y,N,N,NORAD,Free Agent,FRA,#B21A18,#012B68,,,https://www.noradhockey.com/wp-content/uploads/2022/05/New-NORAD-Logo-White.png,https://www.noradhockey.com/
