player_game_key,player_game_number,player_id,player_team,player_venue,skill_rating,position,player_full_name,display_name,game_id,toi_seconds,plus_minus,shifts,toi_formatted,goals,assists_primary,assists_secondary,assists,points,shots,shots_on_goal,shooting_pct,passes,passes_completed,pass_pct,times_pass_target,giveaways,takeaways,turnover_differential,faceoffs,faceoff_wins,faceoff_pct,zone_entries,zone_exits,stick_checks,poke_checks,blocked_shots_play,backchecks,InShotPassLane,SeparateFromPuck,zone_entry_denials,zone_exit_denials,TakeAway,dekes,dekes_successful,screens,dump_and_chase,Tip,OneTimer,PuckRecovery,BoardBattleWin,BoardBattleLoss,SecondTouch,PassIntercepted,drives,drives_successful,breakouts,saves,avg_opp_skill_faced,skill_vs_opponents,goals_per_60,assists_per_60,points_per_60,shots_per_60,stickcheck,pokecheck,blockedshot,backcheck,inshotpasslane,deke,beatdeke,screen,dumpandchase,tip,onetimer,puckrecovery,boardbattlewin,boardbattleloss,secondtouch,is_tracked
18969_3,3,P100023,Platinum,home,4,Defense,Alex Considine,Kaiser,18969,1754.0,3,55,29:14,1,1,0,1,2,11,6,16.7,24,14,58.3,,7,2,-5,0,0,0.0,6,7,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.05,2.05,4.1,22.58,3.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True
18969_8,8,P100030,Platinum,home,5,Defense,Jesse Chambless,Butler,18969,1680.0,-1,49,28:00,0,0,0,0,0,10,5,0.0,18,12,66.7,,6,3,-3,0,0,0.0,3,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,21.43,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True
18969_12,12,P100027,Platinum,home,2,Forward,Karen Zietlow,Minor,18969,1225.0,0,30,20:25,0,0,0,0,0,4,3,0.0,3,2,66.7,,3,0,-3,0,0,0.0,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,11.76,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
18969_20,20,P100024,Platinum,home,3,Forward,John Thien,Bennett,18969,1084.0,0,26,18:04,0,0,0,0,0,5,5,0.0,10,7,70.0,,1,1,0,0,0,0.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,16.61,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True
18969_21,21,P100025,Platinum,home,4,Forward,Andrew Marshall,Burke,18969,1566.0,-1,40,26:06,0,0,0,0,0,3,2,0.0,18,10,55.6,,7,0,-7,0,0,0.0,2,6,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,6.9,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True
18969_34,34,P100022,Platinum,home,4,Forward,Chris Dube,Lynn,18969,995.0,1,35,16:35,1,0,0,0,1,8,6,16.7,13,8,61.5,,9,1,-8,0,0,0.0,12,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.62,0.0,3.62,28.94,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True
18969_45,45,P100117,Platinum,home,6,Defense,Keegan Mantaro,Marshall,18969,1535.0,2,38,25:35,2,1,0,1,3,7,6,33.3,17,11,64.7,,5,3,-2,11,0,0.0,10,10,,,,,,,,,,,,,,,,,,,,,,,,0,,,4.69,2.35,7.04,16.42,3.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
18969_47,47,P100210,Platinum,home,4,Forward,Josh Simonds,Lacy,18969,1243.0,3,41,20:43,0,0,0,0,0,3,3,0.0,14,9,64.3,,5,1,-4,0,0,0.0,6,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,8.69,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True
18969_53,53,P100192,Platinum,home,5,Forward,Chris Premo,Ball,18969,1705.0,0,57,28:25,0,0,0,0,0,11,2,0.0,27,20,74.1,,8,3,-5,15,0,0.0,13,9,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,23.23,2.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True
18969_78,78,P100107,Platinum,home,3,Defense,Matt Quinn,Patterson,18969,1480.0,3,46,24:40,0,1,0,1,1,4,0,0.0,12,5,41.7,,7,1,-6,0,0,0.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,2.43,2.43,9.73,5.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True
18969_82,82,P100110,Platinum,home,2,Forward,JoLyn Maly,Koch,18969,737.0,-1,23,12:17,0,0,0,0,0,2,0,0.0,3,3,100.0,,3,0,-3,0,0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,9.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True
18969_86,86,P100222,Platinum,home,3,Forward,Joshua Blumberg,Hopper,18969,1067.0,1,33,17:47,0,0,0,0,0,3,2,0.0,7,5,71.4,,4,1,-3,0,0,0.0,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,10.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True
18969_99,99,P100202,Platinum,home,5,Goalie,Francis Forte,Doyle,18969,3240.0,2,95,54:00,0,0,0,0,0,0,0,0.0,0,0,0.0,,0,0,0,0,0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,21,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
18969_9,9,P100105,Velodrome,away,4,Defense,Ronnie Pinnell,Lozano,18969,1081.0,1,30,18:01,0,0,0,0,0,0,0,0.0,11,4,36.4,,9,2,-7,0,0,0.0,1,10,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True
18969_14,14,P100132,Velodrome,away,4,Forward,Nick Ciampoli,Chase,18969,968.0,-1,23,16:08,2,0,0,0,2,3,3,66.7,4,3,75.0,,3,2,-1,0,0,0.0,1,4,,,,,,,,,,,,,,,,,,,,,,,,0,,,7.44,0.0,7.44,11.16,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True
18969_22,22,P100108,Velodrome,away,3,Defense,Robert Mayfield,Peck,18969,923.0,-2,26,15:23,0,1,0,1,1,3,1,0.0,6,3,50.0,,5,1,-4,0,0,0.0,3,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,3.9,3.9,11.7,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
18969_39,39,P100016,Velodrome,away,5,Goalie,Wyatt Crandall,Merritt,18969,3158.0,-2,93,52:38,0,0,0,0,0,0,0,0.0,2,2,100.0,,0,0,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,37,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
18969_42,42,P100201,Velodrome,away,5,Forward,Garrett Ashcroft,Bonner,18969,1628.0,1,48,27:08,1,0,0,0,1,5,4,25.0,12,7,58.3,,3,2,-1,6,0,0.0,8,7,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.21,0.0,2.21,11.06,4.0,2.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
18969_49,49,P100161,Velodrome,away,5,Forward,Galen Wood,Kern,18969,1357.0,-1,43,22:37,0,1,0,1,1,4,1,0.0,10,6,60.0,,2,1,-1,0,0,0.0,9,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,2.65,2.65,10.61,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
18969_52,52,P100070,Velodrome,away,4,Defense,Hayden Perea,Palmer,18969,1533.0,2,42,25:33,0,0,0,0,0,1,0,0.0,12,10,83.3,,7,0,-7,0,0,0.0,2,6,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,2.35,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True
18969_55,55,P100064,Velodrome,away,3,Forward,James Rynearson,Harris,18969,1024.0,-1,25,17:04,0,1,0,1,1,2,0,0.0,6,2,33.3,,5,2,-3,0,0,0.0,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,3.52,3.52,7.03,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True
18969_61,61,P100224,Velodrome,away,3,Forward,Kaitlyn Shain,Whitehead,18969,877.0,0,32,14:37,0,0,0,0,0,2,1,0.0,3,1,33.3,,2,2,0,0,0,0.0,4,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,8.21,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True
18969_70,70,P100001,Velodrome,away,6,Forward,Sam Downs,Walton,18969,1694.0,-3,49,28:14,0,0,0,0,0,9,5,0.0,22,12,54.5,,8,3,-5,14,0,0.0,11,7,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,19.13,4.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True
18969_75,75,P100039,Velodrome,away,2,Forward,Nicole Downs,Kuhn,18969,1257.0,-1,36,20:57,0,0,0,0,0,5,1,0.0,4,2,50.0,,7,0,-7,0,0,0.0,4,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,14.32,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True
18969_84,84,P100198,Velodrome,away,5,Defense,Maxwell Donaty,Singleton,18969,1598.0,-3,47,26:38,0,0,0,0,0,2,2,0.0,16,12,75.0,,3,1,-2,0,0,0.0,3,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,4.51,4.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True
18969_91,91,P100002,Velodrome,away,4,Forward,Kevin White,Morrison,18969,915.0,0,29,15:15,0,0,0,0,0,5,4,0.0,13,9,69.2,,5,1,-4,0,0,0.0,3,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,19.67,4.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True
18969_93,93,P100093,Velodrome,away,3,Defense,Pat Major,Hurley,18969,1296.0,-2,44,21:36,0,0,0,0,0,2,1,0.0,13,7,53.8,,9,0,-9,0,0,0.0,5,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,0.0,0.0,5.56,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True
