box_id,box_id_rev,x_min,x_max,y_min,y_max,y_description,x_description,danger,slot,zone,side,dotside,depth
OZ01,DZ01,89.0,100.0,-42.5,-7.5,boards to far hash,behind net,low,outside low,offensive,right,outside trapezoid,below goal line
OZ02,DZ02,89.0,100.0,-7.5,0.0,hash to center,behind net,low,outside low,offensive,center,inside trapezoid,below goal line
OZ03,DZ03,89.0,100.0,0.0,7.5,center to hash,behind net,low,outside low,offensive,center,inside trapezoid,below goal line
OZ04,DZ04,89.0,100.0,7.5,42.5,hash to boards,behind net,low,outside low,offensive,left,outside trapezoid,below goal line
OZ05,DZ05,84.0,89.0,-42.5,-37.5,boards to hash,goal line to bottom circle,low,outside wide,offensive,right,outside dots,below bottom of circle
OZ06,DZ06,84.0,89.0,-37.5,-30.0,hash to half way to dot,goal line to bottom circle,low,outside wide,offensive,right,outside dots,below bottom of circle
OZ07,DZ07,84.0,89.0,-30.0,-22.5,half way to dot to dot,goal line to bottom circle,low,outside wide,offensive,right,outside dots,below bottom of circle
OZ08,DZ08,84.0,89.0,-22.5,-15.0,dot to half way to dot,goal line to bottom circle,low,outside wide,offensive,right,inside dots,below bottom of circle
OZ09,DZ09,84.0,89.0,-15.0,-7.5,half way to dot to hash,goal line to bottom circle,low,outside wide,offensive,right,inside dots,below bottom of circle
OZ10,DZ10,84.0,89.0,-7.5,-5.5,hash to post,goal line to bottom circle,high,low inner slot,offensive,center,inside hash marks,below bottom of circle
OZ11,DZ11,84.0,89.0,-5.5,5.5,post to post,goal line to bottom circle,high,low inner slot,offensive,center,inside hash marks,below bottom of circle
OZ12,DZ12,84.0,89.0,5.5,7.5,hash to post,goal line to bottom circle,high,low inner slot,offensive,center,inside dots,below bottom of circle
OZ13,DZ13,84.0,89.0,7.5,15.0,hash to half way to dot,goal line to bottom circle,low,outside wide,offensive,left,inside dots,below bottom of circle
OZ14,DZ14,84.0,89.0,15.0,22.5,half way to dot to dot,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
OZ15,DZ15,84.0,89.0,22.5,30.0,dot to half way to dot,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
OZ16,DZ16,84.0,89.0,30.0,37.5,half way to dot to hash,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
OZ17,DZ17,84.0,89.0,37.5,42.5,hash to boards,goal line to bottom circle,low,outside wide,offensive,left,outside dots,below bottom of circle
OZ18,DZ18,76.5,84.0,-42.5,-37.5,boards to hash,bottom of circle to half way to dot,low,outside wide,offensive,right,outside dots,below hash marks
OZ19,DZ19,76.5,84.0,-37.5,-30.0,hash to half way to dot,bottom of circle to half way to dot,low,outside wide,offensive,right,outside dots,below hash marks
OZ20,DZ20,76.5,84.0,-30.0,-22.5,half way to dot to dot,bottom of circle to half way to dot,low,outside wide,offensive,right,outside dots,below hash marks
OZ21,DZ21,76.5,84.0,-22.5,-15.0,dot to half way to dot,bottom of circle to half way to dot,low,outside wide,offensive,right,inside dots,below hash marks
OZ22,DZ22,76.5,84.0,-15.0,-7.5,half way to dot to hash,bottom of circle to half way to dot,mid,outer slot,offensive,right,inside dots,below hash marks
OZ23,DZ23,76.5,84.0,-7.5,-5.5,hash to post,bottom of circle to half way to dot,high,low inner slot,offensive,center,inside hash marks,below hash marks
OZ24,DZ24,76.5,84.0,-5.5,5.5,post to post,bottom of circle to half way to dot,high,low inner slot,offensive,center,inside hash marks,below hash marks
OZ25,DZ25,76.5,84.0,5.5,7.5,hash to post,bottom of circle to half way to dot,high,low inner slot,offensive,center,inside dots,below hash marks
OZ26,DZ26,76.5,84.0,7.5,15.0,hash to half way to dot,bottom of circle to half way to dot,mid,outer slot,offensive,left,inside dots,below hash marks
OZ27,DZ27,76.5,84.0,15.0,22.5,half way to dot to dot,bottom of circle to half way to dot,low,outside wide,offensive,left,outside dots,below hash marks
OZ28,DZ28,76.5,84.0,22.5,30.0,dot to half way to dot,bottom of circle to half way to dot,low,outside wide,offensive,left,outside dots,below hash marks
OZ29,DZ29,76.5,84.0,30.0,37.5,half way to dot to hash,bottom of circle to half way to dot,low,outside wide,offensive,left,outside dots,below hash marks
OZ30,DZ30,76.5,84.0,37.5,42.5,hash to boards,bottom of circle to half way to dot,low,outside wide,offensive,left,outside dots,below hash marks
OZ31,DZ31,69.0,76.5,-42.5,-37.5,boards to hash,half way to dot to dot,low,outside wide,offensive,right,outside dots,below hash marks
OZ32,DZ32,69.0,76.5,-37.5,-30.0,hash to half way to dot,half way to dot to dot,low,outside wide,offensive,right,outside dots,below hash marks
OZ33,DZ33,69.0,76.5,-30.0,-22.5,half way to dot to dot,half way to dot to dot,low,outside wide,offensive,right,outside dots,below hash marks
OZ34,DZ34,69.0,76.5,-22.5,-15.0,dot to half way to dot,half way to dot to dot,mid,outer slot,offensive,right,inside dots,below hash marks
OZ35,DZ35,69.0,76.5,-15.0,-7.5,half way to dot to hash,half way to dot to dot,mid,outer slot,offensive,right,inside dots,below hash marks
OZ36,DZ36,69.0,76.5,-7.5,-5.5,hash to post,half way to dot to dot,high,low inner slot,offensive,center,inside hash marks,below hash marks
OZ37,DZ37,69.0,76.5,-5.5,5.5,post to post,half way to dot to dot,high,low inner slot,offensive,center,inside hash marks,below hash marks
OZ38,DZ38,69.0,76.5,5.5,7.5,hash to post,half way to dot to dot,high,low inner slot,offensive,center,inside dots,below hash marks
OZ39,DZ39,69.0,76.5,7.5,15.0,hash to half way to dot,half way to dot to dot,mid,outer slot,offensive,left,inside dots,below hash marks
OZ40,DZ40,69.0,76.5,15.0,22.5,half way to dot to dot,half way to dot to dot,mid,outer slot,offensive,left,outside dots,below hash marks
OZ41,DZ41,69.0,76.5,22.5,30.0,dot to half way to dot,half way to dot to dot,low,outside wide,offensive,left,outside dots,below hash marks
OZ42,DZ42,69.0,76.5,30.0,37.5,half way to dot to hash,half way to dot to dot,low,outside wide,offensive,left,outside dots,below hash marks
OZ43,DZ43,69.0,76.5,37.5,42.5,hash to boards,half way to dot to dot,low,outside wide,offensive,left,outside dots,below hash marks
OZ44,DZ44,61.5,69.0,-42.5,-37.5,boards to hash,dot to half way to dot,low,outside wide,offensive,right,outside dots,below top of circle
OZ45,DZ45,61.5,69.0,-37.5,-30.0,hash to half way to dot,dot to half way to dot,low,outside wide,offensive,right,outside dots,below top of circle
OZ46,DZ46,61.5,69.0,-30.0,-22.5,half way to dot to dot,dot to half way to dot,low,outside wide,offensive,right,outside dots,below top of circle
OZ47,DZ47,61.5,69.0,-22.5,-15.0,dot to half way to dot,dot to half way to dot,mid,outer slot,offensive,right,inside dots,below top of circle
OZ48,DZ48,61.5,69.0,-15.0,-7.5,half way to dot to hash,dot to half way to dot,mid,outer slot,offensive,right,inside dots,below top of circle
OZ49,DZ49,61.5,69.0,-7.5,-5.5,hash to post,dot to half way to dot,mid,high inner slot,offensive,center,inside hash marks,below top of circle
OZ50,DZ50,61.5,69.0,-5.5,5.5,post to post,dot to half way to dot,mid,high inner slot,offensive,center,inside hash marks,below top of circle
OZ51,DZ51,61.5,69.0,5.5,7.5,hash to post,dot to half way to dot,mid,high inner slot,offensive,center,inside dots,below top of circle
OZ52,DZ52,61.5,69.0,7.5,15.0,hash to half way to dot,dot to half way to dot,mid,outer slot,offensive,left,inside dots,below top of circle
OZ53,DZ53,61.5,69.0,15.0,22.5,half way to dot to dot,dot to half way to dot,mid,outer slot,offensive,left,outside dots,below top of circle
OZ54,DZ54,61.5,69.0,22.5,30.0,dot to half way to dot,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
OZ55,DZ55,61.5,69.0,30.0,37.5,half way to dot to hash,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
OZ56,DZ56,61.5,69.0,37.5,42.5,hash to boards,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
OZ57,DZ57,54.0,61.5,-42.5,-37.5,boards to hash,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
OZ58,DZ58,54.0,61.5,-37.5,-30.0,hash to half way to dot,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
OZ59,DZ59,54.0,61.5,-30.0,-22.5,half way to dot to dot,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
OZ60,DZ60,54.0,61.5,-22.5,-15.0,dot to half way to dot,half way to dot to top of circle,mid,outer slot,offensive,right,inside dots,below top of circle
OZ61,DZ61,54.0,61.5,-15.0,-7.5,half way to dot to hash,half way to dot to top of circle,mid,outer slot,offensive,right,inside dots,below top of circle
OZ62,DZ62,54.0,61.5,-7.5,-5.5,hash to post,half way to dot to top of circle,mid,high inner slot,offensive,center,inside hash marks,below top of circle
OZ63,DZ63,54.0,61.5,-5.5,5.5,post to post,half way to dot to top of circle,mid,high inner slot,offensive,center,inside hash marks,below top of circle
OZ64,DZ64,54.0,61.5,5.5,7.5,hash to post,half way to dot to top of circle,mid,high inner slot,offensive,center,inside dots,below top of circle
OZ65,DZ65,54.0,61.5,7.5,15.0,hash to half way to dot,half way to dot to top of circle,mid,outer slot,offensive,left,inside dots,below top of circle
OZ66,DZ66,54.0,61.5,15.0,22.5,half way to dot to dot,half way to dot to top of circle,mid,outer slot,offensive,left,outside dots,below top of circle
OZ67,DZ67,54.0,61.5,22.5,30.0,dot to half way to dot,half way to dot to top of circle,low,outside wide,offensive,left,outside dots,below top of circle
OZ68,DZ68,54.0,61.5,30.0,37.5,half way to dot to hash,half way to dot to top of circle,low,outside wide,offensive,left,outside dots,below top of circle
OZ69,DZ69,54.0,61.5,37.5,42.5,hash to boards,half way to dot to top of circle,low,outside wide,offensive,left,outside dots,below top of circle
OZ70,DZ70,38.5,54.0,-42.5,-37.5,boards to hash,top of circle to half way to blue,low,outside point,offensive,right,outside dots,above top of circle
OZ71,DZ71,38.5,54.0,-37.5,-30.0,hash to half way to dot,top of circle to half way to blue,low,outside point,offensive,right,outside dots,above top of circle
OZ72,DZ72,38.5,54.0,-30.0,-22.5,half way to dot to dot,top of circle to half way to blue,low,outside point,offensive,right,outside dots,above top of circle
OZ73,DZ73,38.5,54.0,-22.5,-15.0,dot to half way to dot,top of circle to half way to blue,low,center point,offensive,right,inside dots,above top of circle
OZ74,DZ74,38.5,54.0,-15.0,-7.5,half way to dot to hash,top of circle to half way to blue,low,center point,offensive,right,inside dots,above top of circle
OZ75,DZ75,38.5,54.0,-7.5,-5.5,hash to post,top of circle to half way to blue,mid,center point,offensive,center,inside hash marks,above top of circle
OZ76,DZ76,38.5,54.0,-5.5,5.5,post to post,top of circle to half way to blue,mid,center point,offensive,center,inside hash marks,above top of circle
OZ77,DZ77,38.5,54.0,5.5,7.5,hash to post,top of circle to half way to blue,mid,center point,offensive,center,inside dots,above top of circle
OZ78,DZ78,38.5,54.0,7.5,15.0,hash to half way to dot,top of circle to half way to blue,low,center point,offensive,left,inside dots,above top of circle
OZ79,DZ79,38.5,54.0,15.0,22.5,half way to dot to dot,top of circle to half way to blue,low,center point,offensive,left,outside dots,above top of circle
OZ80,DZ80,38.5,54.0,22.5,30.0,dot to half way to dot,top of circle to half way to blue,low,outside point,offensive,left,outside dots,above top of circle
OZ81,DZ81,38.5,54.0,30.0,37.5,half way to dot to hash,top of circle to half way to blue,low,outside point,offensive,left,outside dots,above top of circle
OZ82,DZ82,38.5,54.0,37.5,42.5,hash to boards,top of circle to half way to blue,low,outside point,offensive,left,outside dots,above top of circle
OZ83,DZ83,22.5,38.5,-42.5,-37.5,boards to hash,half way to blue to blue,low,outside point,offensive,right,outside dots,above top of circle
OZ84,DZ84,22.5,38.5,-37.5,-30.0,hash to half way to dot,half way to blue to blue,low,outside point,offensive,right,outside dots,above top of circle
OZ85,DZ85,22.5,38.5,-30.0,-22.5,half way to dot to dot,half way to blue to blue,low,outside point,offensive,right,outside dots,above top of circle
OZ86,DZ86,22.5,38.5,-22.5,-15.0,dot to half way to dot,half way to blue to blue,low,center point,offensive,right,inside dots,above top of circle
OZ87,DZ87,22.5,38.5,-15.0,-7.5,half way to dot to hash,half way to blue to blue,low,center point,offensive,right,inside dots,above top of circle
OZ88,DZ88,22.5,38.5,-7.5,-5.5,hash to post,half way to blue to blue,low,center point,offensive,center,inside hash marks,above top of circle
OZ89,DZ89,22.5,38.5,-5.5,5.5,post to post,half way to blue to blue,low,center point,offensive,center,inside hash marks,above top of circle
OZ90,DZ90,22.5,38.5,5.5,7.5,hash to post,half way to blue to blue,low,center point,offensive,center,inside dots,above top of circle
OZ91,DZ91,22.5,38.5,7.5,15.0,hash to half way to dot,half way to blue to blue,low,center point,offensive,left,inside dots,above top of circle
OZ92,DZ92,22.5,38.5,15.0,22.5,half way to dot to dot,half way to blue to blue,low,center point,offensive,left,outside dots,above top of circle
OZ93,DZ93,22.5,38.5,22.5,30.0,dot to half way to dot,half way to blue to blue,low,outside point,offensive,left,outside dots,above top of circle
OZ94,DZ94,22.5,38.5,30.0,37.5,half way to dot to hash,half way to blue to blue,low,outside point,offensive,left,outside dots,above top of circle
OZ95,DZ95,22.5,38.5,37.5,42.5,hash to boards,half way to blue to blue,low,outside point,offensive,left,outside dots,above top of circle
ON01,DN01,0.0,22.5,-42.5,-22.5,boards to dot,offensive neutral zone,low,neutral zone,offensive,right,outside dots,neutral zone
ON02,DN02,0.0,22.5,-22.5,0.0,dot to center dot,offensive neutral zone,low,neutral zone,offensive,center,inside dots,neutral zone
ON03,DN03,0.0,22.5,0.0,22.5,center dot to dot,offensive neutral zone,low,neutral zone,offensive,left,inside dots,neutral zone
ON04,DN04,0.0,22.5,22.5,42.5,dot to boards,offensive neutral zone,low,neutral zone,offensive,left,outside dots,neutral zone
DZ01,OZ01,-89.0,-100.0,-42.5,-7.5,boards to far hash,behind net,low,outside low,offensive,right,outside trapezoid,below goal line
