event_index,X,Y
14,14.57,-8.56
15,14.93,-8.10
24,34.05,-20.99
25,34.38,-21.15
71,30.90,-6.00
72,30.90,-6.33
87,28.05,8.29
88,28.15,8.19
136,16.90,-20.30
137,16.93,-20.36
151,2.64,-10.46
152,2.54,-10.10
239,14.97,22.52
240,14.80,22.52
289,15.07,-4.46
290,15.33,-4.36
317,-12.97,-22.69
318,-12.87,-22.43
323,13.79,-22.95
324,13.85,-22.76
354,30.48,-22.50
355,30.44,-22.46
406,34.25,2.78
407,34.48,2.75
462,-33.72,22.03
463,-33.66,21.93
480,19.00,-1.41
481,19.03,-1.41
501,35.20,-6.00
502,35.20,-6.04
541,20.64,-21.18
542,20.74,-21.18
546,17.75,-6.76
547,17.82,-6.79
549,28.54,-19.48
550,28.02,-19.48
568,-22.41,-20.63
569,-22.57,-20.59
601,-31.16,-20.99
602,-30.90,-21.18
646,-17.75,-16.69
647,-17.82,-16.63
652,-9.39,-18.50
653,-9.46,-18.40
665,13.00,-20.00
666,13.13,-20.14
672,33.69,-22.53
673,33.66,-22.46
691,20.02,-18.73
692,20.02,-18.63
733,-11.98,-9.74
734,-11.95,-9.71
749,7.30,-19.28
750,7.33,-19.25
763,-11.16,-13.02
764,-11.30,-12.86
801,26.93,17.73
802,27.26,17.67
816,-25.52,-20.53
817,-25.43,-20.56
882,-33.26,-20.92
883,-33.33,-21.02
934,-35.49,-23.32
935,-35.49,-23.12
1005,8.05,-14.23
1006,8.02,-14.17
1011,-7.03,2.00
1012,-7.23,2.29
1033,-17.69,-20.86
1034,-17.79,-20.99
1057,26.67,-21.61
1058,26.67,-21.58
1099,24.11,-22.27
1100,24.05,-22.10
1105,-31.52,16.95
1106,-31.69,16.98
1109,11.26,13.70
1110,11.16,14.03
1115,-4.97,-13.28
1116,-4.90,-13.32
1133,7.72,-8.14
1134,7.85,-7.94
1169,35.03,-22.82
1170,35.13,-22.73
1187,-35.43,13.57
1188,-35.26,13.83
1255,-21.26,-4.76
1256,-21.36,-4.59